Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|02/01/2024|Vente|346,50||||B020|LE DELIVRE|1230|CHALEY|01|76||B|514||||||||||||0||||||P||99
|||||||000002|03/01/2024|Vente|10000,00||||B007|CHEVRY DESSOUS|1170|CHEVRY|01|103||B|1782||||||||||||0||||||S||115
|||||||000001|08/01/2024|Vente|249000,00||||B086|PIN HAMEAU|1290|LAIZ|01|203||C|1065||||||||||||0||||||S||497
|||||||000001|03/01/2024|Vente|329500,00|9001||PL|0500|DU JURA|1170|GEX|01|173||AI|551||50||||||||||1|3|Dépendance||0|0|||
|||||||000001|03/01/2024|Vente|329500,00|29||PL|0500|DU JURA|1170|GEX|01|173||AI|551||175||29||||||||2|3|Dépendance||0|0|||
|||||||000001|03/01/2024|Vente|329500,00|29||PL|0500|DU JURA|1170|GEX|01|173||AI|551||175||29||||||||2|3|Dépendance||0|0|||
|||||||000001|03/01/2024|Vente|329500,00|29||PL|0500|DU JURA|1170|GEX|01|173||AI|551||175||29||||||||2|2|Appartement||89|4|||
|||||||000001|09/01/2024|Vente|20000,00||||B579|AU CHAUME|1110|PLATEAU D'HAUTEVILLE|01|185|186|A|4||||||||||||0||||||BR||1584
|||||||000001|09/01/2024|Vente|20000,00||||B606|LES FATES|1110|PLATEAU D'HAUTEVILLE|01|185|186|A|32||||||||||||0||||||BR||188
|||||||000001|09/01/2024|Vente|20000,00||||B606|LES FATES|1110|PLATEAU D'HAUTEVILLE|01|185|186|A|46||||||||||||0||||||BR||2532
|||||||000001|09/01/2024|Vente|20000,00||||B574|EN CHANAUD|1110|PLATEAU D'HAUTEVILLE|01|185|186|A|82||||||||||||0||||||P||2615
|||||||000001|09/01/2024|Vente|20000,00||||B562|LA BERROTIERE|1110|PLATEAU D'HAUTEVILLE|01|185|186|A|101||||||||||||0||||||BT||1890
|||||||000001|09/01/2024|Vente|20000,00||||B644|RADIOT|1110|PLATEAU D'HAUTEVILLE|01|185|186|A|175||||||||||||0||||||BT||926
|||||||000001|09/01/2024|Vente|20000,00||||B645|SUR LA RECULAZ|1110|PLATEAU D'HAUTEVILLE|01|185|186|A|198||||||||||||0||||||BT||843
|||||||000001|09/01/2024|Vente|20000,00||||B645|SUR LA RECULAZ|1110|PLATEAU D'HAUTEVILLE|01|185|186|A|244||||||||||||0||||||BT||2311
|||||||000001|09/01/2024|Vente|20000,00||||B645|SUR LA RECULAZ|1110|PLATEAU D'HAUTEVILLE|01|185|186|A|245||||||||||||0||||||BT||1109
|||||||000001|09/01/2024|Vente|20000,00||||B645|SUR LA RECULAZ|1110|PLATEAU D'HAUTEVILLE|01|185|186|A|249||||||||||||0||||||BT||1377
|||||||000001|09/01/2024|Vente|20000,00||||B645|SUR LA RECULAZ|1110|PLATEAU D'HAUTEVILLE|01|185|186|A|264||||||||||||0||||||BT||1155
|||||||000001|09/01/2024|Vente|20000,00||||B583|EN CHEZIEU|1110|PLATEAU D'HAUTEVILLE|01|185|186|A|307||||||||||||0||||||L||2496
|||||||000001|09/01/2024|Vente|20000,00||||B598|LA COTE AUX BERNES|1110|PLATEAU D'HAUTEVILLE|01|185|186|A|313||||||||||||0||||||L||1598
|||||||000001|09/01/2024|Vente|20000,00||||B582|SUR LA CHENELAZ|1110|PLATEAU D'HAUTEVILLE|01|185|186|A|325||||||||||||0||||||BR||1351
|||||||000001|09/01/2024|Vente|20000,00||||B645|SUR LA RECULAZ|1110|PLATEAU D'HAUTEVILLE|01|185|186|A|373||||||||||||0||||||BT||177
|||||||000001|09/01/2024|Vente|20000,00||||B606|LES FATES|1110|PLATEAU D'HAUTEVILLE|01|185|186|A|392||||||||||||0||||||BR||2240
